date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2020/01/24,2020,1,24,chokepoint1,Suez Canal,17,11,0,2,20,30,50,808532,596011,0,21535,860324,1426079,2286403,429
2020/01/25,2020,1,25,chokepoint1,Suez Canal,20,4,5,2,17,31,48,1285726,343943,25111,2217,888965,1656999,2545964,430
2020/01/26,2020,1,26,chokepoint1,Suez Canal,18,16,5,3,14,42,56,873563,988849,7710,12746,375447,1882870,2258317,431
2020/01/27,2020,1,27,chokepoint1,Suez Canal,15,17,5,6,20,43,63,902673,624788,18782,10934,708900,1557180,2266080,432
2020/01/28,2020,1,28,chokepoint1,Suez Canal,17,20,6,1,24,44,68,999543,445918,20328,11951,913404,1477742,2391146,433
2020/01/29,2020,1,29,chokepoint1,Suez Canal,21,24,11,5,18,61,79,1267268,612541,33671,12872,446044,1926353,2372397,434
2020/01/30,2020,1,30,chokepoint1,Suez Canal,19,24,11,5,30,59,89,767109,751448,22255,8650,461255,1549464,2010719,435
2020/01/31,2020,1,31,chokepoint1,Suez Canal,22,24,6,5,27,57,84,964227,883416,14656,3449,1030446,1865749,2896196,436
2020/02/01,2020,2,1,chokepoint1,Suez Canal,24,14,6,4,20,48,68,1314041,452438,10049,15456,499741,1791985,2291727,437
2020/02/02,2020,2,2,chokepoint1,Suez Canal,16,28,8,3,8,55,63,835795,1092737,12548,8827,691757,1949909,2641667,438
2020/02/03,2020,2,3,chokepoint1,Suez Canal,16,9,6,4,24,35,59,1091403,727965,40316,19236,1138727,1878920,3017648,439
2020/02/04,2020,2,4,chokepoint1,Suez Canal,12,11,8,3,16,34,50,660007,914753,40829,8783,758920,1624373,2383293,440
2020/03/16,2020,3,16,chokepoint1,Suez Canal,17,18,6,2,19,43,62,1160730,849174,27660,5771,1130489,2043337,3173827,441
2020/03/17,2020,3,17,chokepoint1,Suez Canal,20,10,3,3,20,36,56,1395732,471508,10316,16462,685390,1894019,2579409,442
2020/03/18,2020,3,18,chokepoint1,Suez Canal,18,15,3,4,9,40,49,835213,872792,844,14291,601206,1723141,2324347,443
2020/03/19,2020,3,19,chokepoint1,Suez Canal,15,14,12,2,17,43,60,773312,699931,81899,9498,969650,1564642,2534293,444
2020/03/20,2020,3,20,chokepoint1,Suez Canal,14,18,5,3,19,40,59,1059309,865480,15394,13646,576250,1953830,2530080,445
2020/03/21,2020,3,21,chokepoint1,Suez Canal,14,12,6,1,10,33,43,809378,800701,15784,4660,453630,1630524,2084154,446
2020/03/22,2020,3,22,chokepoint1,Suez Canal,15,24,4,0,15,43,58,890740,1745314,4908,0,672337,2640963,3313301,447
2020/03/23,2020,3,23,chokepoint1,Suez Canal,16,10,6,2,13,34,47,971905,464156,16356,10075,701091,1462493,2163585,448
2020/03/24,2020,3,24,chokepoint1,Suez Canal,18,13,7,1,15,39,54,1300601,426540,19129,4261,745658,1750534,2496192,449
2020/03/25,2020,3,25,chokepoint1,Suez Canal,14,18,7,4,14,43,57,713287,607638,47489,30259,244046,1398674,1642720,450
2020/03/26,2020,3,26,chokepoint1,Suez Canal,17,8,9,5,17,39,56,1147128,380416,27014,24074,473770,1578634,2052405,451
2020/03/27,2020,3,27,chokepoint1,Suez Canal,17,25,9,1,14,52,66,924017,862371,47552,4252,927149,1838194,2765344,452
2020/03/28,2020,3,28,chokepoint1,Suez Canal,17,10,4,1,19,32,51,994759,362017,2993,5167,1259004,1364937,2623941,453
2020/03/29,2020,3,29,chokepoint1,Suez Canal,10,17,4,4,14,35,49,759560,664378,36277,16957,496969,1477173,1974142,454
2020/03/30,2020,3,30,chokepoint1,Suez Canal,12,18,5,2,15,37,52,584636,886658,17575,12032,847899,1500902,2348802,455
2020/03/31,2020,3,31,chokepoint1,Suez Canal,15,14,7,4,15,40,55,1049042,607874,3910,16322,914839,1677149,2591988,456
2020/04/01,2020,4,1,chokepoint1,Suez Canal,12,11,5,4,16,32,48,859123,837283,20541,22678,351163,1739627,2090791,457
2020/04/02,2020,4,2,chokepoint1,Suez Canal,13,17,5,1,19,36,55,700519,1048328,11292,5211,1133065,1765351,2898416,458
2020/04/03,2020,4,3,chokepoint1,Suez Canal,16,17,8,3,19,44,63,842060,753302,31690,5771,822772,1632825,2455597,459
2020/04/04,2020,4,4,chokepoint1,Suez Canal,17,10,4,3,18,34,52,1219472,773975,8707,9976,945374,2012132,2957507,460
2020/04/05,2020,4,5,chokepoint1,Suez Canal,14,15,5,2,22,36,58,486290,882445,15422,0,1160767,1384159,2544927,461
2020/04/06,2020,4,6,chokepoint1,Suez Canal,16,12,4,2,21,34,55,1141261,620793,20258,8585,825341,1790898,2616240,462
2020/04/07,2020,4,7,chokepoint1,Suez Canal,13,20,7,1,14,41,55,850546,1353676,39487,6925,823549,2250635,3074185,463
2020/04/08,2020,4,8,chokepoint1,Suez Canal,13,21,3,2,20,39,59,926849,909552,1582,14836,602999,1852821,2455820,464
2020/04/09,2020,4,9,chokepoint1,Suez Canal,14,19,11,2,24,46,70,810935,1033542,56881,8447,762128,1909806,2671935,465
2020/04/10,2020,4,10,chokepoint1,Suez Canal,18,23,6,3,21,50,71,1238602,951304,21084,8758,1009103,2219751,3228854,466
2020/04/11,2020,4,11,chokepoint1,Suez Canal,16,14,3,3,22,36,58,984546,601294,5306,16821,1274045,1607970,2882016,467
2020/04/12,2020,4,12,chokepoint1,Suez Canal,14,15,6,1,22,36,58,815972,563987,18074,0,1338799,1398034,2736834,468
2020/04/13,2020,4,13,chokepoint1,Suez Canal,13,19,4,1,23,37,60,831483,875242,46832,2706,858365,1756264,2614629,469
2020/04/14,2020,4,14,chokepoint1,Suez Canal,17,13,14,3,18,47,65,1143572,637106,32111,13632,1399079,1826422,3225502,470
2020/04/15,2020,4,15,chokepoint1,Suez Canal,18,12,4,2,14,36,50,1162213,850218,23529,13849,906619,2049811,2956430,471
2020/04/16,2020,4,16,chokepoint1,Suez Canal,8,19,8,4,23,39,62,296023,1088316,29547,10947,606197,1424833,2031031,472
2020/04/17,2020,4,17,chokepoint1,Suez Canal,14,17,2,1,17,34,51,954557,799358,2971,0,927776,1756887,2684663,473
2020/04/18,2020,4,18,chokepoint1,Suez Canal,16,13,9,3,20,41,61,1010773,656759,51737,6347,1048311,1725618,2773929,474
2020/04/19,2020,4,19,chokepoint1,Suez Canal,11,8,6,1,23,26,49,702459,171075,35497,0,1178986,909032,2088018,475
2020/04/20,2020,4,20,chokepoint1,Suez Canal,16,19,5,0,20,40,60,1099933,831406,26843,0,1031458,1958183,2989641,476
2020/04/21,2020,4,21,chokepoint1,Suez Canal,14,7,6,1,25,28,53,832852,213556,10517,5170,909668,1062097,1971765,477
2020/04/22,2020,4,22,chokepoint1,Suez Canal,18,17,10,1,23,46,69,1179546,945888,13966,1178,636646,2140579,2777226,478
2020/04/23,2020,4,23,chokepoint1,Suez Canal,19,12,8,5,18,44,62,993014,603199,27499,28470,1068106,1652183,2720290,479
2020/04/24,2020,4,24,chokepoint1,Suez Canal,12,22,4,0,20,38,58,786781,1392665,5235,0,796959,2184683,2981642,480
2020/04/25,2020,4,25,chokepoint1,Suez Canal,16,20,11,2,19,49,68,1033940,1187860,43829,9560,936318,2275191,3211510,481
2020/04/26,2020,4,26,chokepoint1,Suez Canal,9,9,5,1,32,24,56,460640,609541,25879,2720,2063469,1098781,3162251,482
2020/04/27,2020,4,27,chokepoint1,Suez Canal,6,15,7,2,18,30,48,404080,793416,20253,9072,1083576,1226823,2310400,483
2020/04/28,2020,4,28,chokepoint1,Suez Canal,13,14,6,3,20,36,56,916960,510869,52403,17525,861221,1497760,2358981,484
2020/04/29,2020,4,29,chokepoint1,Suez Canal,12,10,4,2,16,28,44,779769,477072,9737,0,1022460,1266579,2289040,485
2020/04/30,2020,4,30,chokepoint1,Suez Canal,16,14,7,1,20,38,58,895181,594884,41283,0,1012214,1531349,2543563,486
2020/05/01,2020,5,1,chokepoint1,Suez Canal,13,20,5,4,25,42,67,842107,1166933,38011,26970,1076856,2074023,3150880,487
2020/05/02,2020,5,2,chokepoint1,Suez Canal,16,13,8,0,24,37,61,991874,718418,26915,0,1104195,1737207,2841403,488
2020/05/03,2020,5,3,chokepoint1,Suez Canal,18,14,9,3,20,44,64,714096,826331,55748,14511,1119192,1610688,2729880,489
2020/05/04,2020,5,4,chokepoint1,Suez Canal,12,24,9,4,23,49,72,1047488,1598207,48234,9162,1247564,2703092,3950656,490
2020/05/05,2020,5,5,chokepoint1,Suez Canal,13,6,4,1,25,24,49,1097555,279858,6882,0,1034047,1384296,2418344,491
2020/05/06,2020,5,6,chokepoint1,Suez Canal,15,8,4,2,22,29,51,638731,505275,13622,7658,1300671,1165288,2465960,492
2020/05/07,2020,5,7,chokepoint1,Suez Canal,16,9,4,3,11,32,43,845836,1009800,23281,11439,1014978,1890357,2905335,493
2020/05/08,2020,5,8,chokepoint1,Suez Canal,10,20,4,0,24,34,58,676472,1014511,6149,0,1119863,1697133,2816997,494
2020/05/09,2020,5,9,chokepoint1,Suez Canal,18,11,2,0,25,31,56,1095058,698051,2396,0,1178773,1795506,2974280,495
2020/05/10,2020,5,10,chokepoint1,Suez Canal,11,13,4,2,23,30,53,602892,627112,12217,11473,1425242,1253696,2678938,496
2020/05/11,2020,5,11,chokepoint1,Suez Canal,12,12,5,2,17,31,48,918086,708826,34681,10726,801426,1672321,2473747,497
2020/05/12,2020,5,12,chokepoint1,Suez Canal,11,11,8,0,14,30,44,952930,690427,31113,0,933606,1674471,2608077,498
2020/05/13,2020,5,13,chokepoint1,Suez Canal,12,11,2,2,19,27,46,751933,477392,14462,7219,1082898,1251007,2333905,499
2020/05/14,2020,5,14,chokepoint1,Suez Canal,13,15,9,0,15,37,52,455933,922423,42445,0,803300,1420803,2224103,500
2020/05/15,2020,5,15,chokepoint1,Suez Canal,17,8,9,0,17,34,51,1089463,569178,20692,0,255829,1679334,1935163,501
2020/05/16,2020,5,16,chokepoint1,Suez Canal,10,12,9,1,27,32,59,607865,633818,57574,6459,1230209,1305718,2535927,502
2020/05/17,2020,5,17,chokepoint1,Suez Canal,16,15,9,2,18,42,60,951976,629724,41120,11084,854462,1633906,2488368,503
2020/05/18,2020,5,18,chokepoint1,Suez Canal,11,12,6,4,24,33,57,707413,570822,19801,9222,1317608,1307260,2624868,504
2020/05/19,2020,5,19,chokepoint1,Suez Canal,20,5,5,0,19,30,49,1468743,434393,14695,0,712528,1917832,2630361,505
2020/05/20,2020,5,20,chokepoint1,Suez Canal,13,13,5,0,10,31,41,684348,779549,8522,0,431135,1472420,1903555,506
2020/05/21,2020,5,21,chokepoint1,Suez Canal,12,13,3,1,29,29,58,551510,483845,14169,5377,1080578,1054904,2135482,507
2020/05/22,2020,5,22,chokepoint1,Suez Canal,20,16,3,1,17,40,57,1015476,970451,7369,6701,917927,1999998,2917926,508
2020/05/23,2020,5,23,chokepoint1,Suez Canal,13,8,9,2,17,32,49,1107568,387740,57347,3233,1036591,1555890,2592481,509
2020/05/24,2020,5,24,chokepoint1,Suez Canal,12,11,6,2,27,31,58,475956,593896,38402,4307,1057261,1112562,2169824,510
2020/05/25,2020,5,25,chokepoint1,Suez Canal,13,5,4,3,18,25,43,901450,496739,3314,15036,502199,1416541,1918740,511
2020/05/26,2020,5,26,chokepoint1,Suez Canal,12,9,8,1,18,30,48,873624,524644,24822,0,883344,1423092,2306436,512
2020/05/27,2020,5,27,chokepoint1,Suez Canal,13,7,2,2,14,24,38,847308,623522,21556,16785,525704,1509173,2034878,513
2020/05/28,2020,5,28,chokepoint1,Suez Canal,10,12,7,0,10,29,39,327622,625091,19027,0,555570,971741,1527312,514
2020/05/29,2020,5,29,chokepoint1,Suez Canal,15,19,8,0,13,42,55,1122724,1080401,68375,0,593857,2271501,2865359,515
2020/05/30,2020,5,30,chokepoint1,Suez Canal,14,7,4,2,16,27,43,981878,290351,5632,18252,894150,1296115,2190265,516
2020/05/31,2020,5,31,chokepoint1,Suez Canal,10,16,4,0,24,30,54,486026,770716,30493,0,949094,1287236,2236330,517
2020/06/01,2020,6,1,chokepoint1,Suez Canal,13,17,5,1,20,36,56,995921,521294,12597,0,1288082,1529813,2817895,518
2020/06/02,2020,6,2,chokepoint1,Suez Canal,16,11,4,2,21,33,54,803016,530143,9309,4289,884128,1346758,2230887,519
2020/06/03,2020,6,3,chokepoint1,Suez Canal,14,10,5,1,17,30,47,922093,832344,7468,2849,750445,1764756,2515202,520
2020/06/04,2020,6,4,chokepoint1,Suez Canal,14,13,8,0,19,35,54,591957,877780,43971,0,733179,1513709,2246889,521
2020/06/05,2020,6,5,chokepoint1,Suez Canal,15,16,6,1,22,38,60,821098,664175,13797,0,918604,1499070,2417674,522
2020/06/06,2020,6,6,chokepoint1,Suez Canal,21,6,1,3,12,31,43,1423970,494199,19638,15696,397110,1953504,2350615,523
2020/06/07,2020,6,7,chokepoint1,Suez Canal,8,16,3,2,12,29,41,553110,1192447,23247,8491,299312,1777296,2076608,524
2020/06/08,2020,6,8,chokepoint1,Suez Canal,11,13,11,1,16,36,52,579189,632405,51839,3888,927349,1267322,2194672,525
2020/06/09,2020,6,9,chokepoint1,Suez Canal,13,9,10,2,9,34,43,924959,784348,49031,5977,490503,1764316,2254820,526
2020/06/10,2020,6,10,chokepoint1,Suez Canal,17,10,10,1,13,38,51,986620,716874,17218,0,429128,1720713,2149841,527
2020/06/11,2020,6,11,chokepoint1,Suez Canal,13,11,5,2,12,31,43,923171,669918,8695,7734,330423,1609519,1939942,528
2020/06/12,2020,6,12,chokepoint1,Suez Canal,19,7,5,2,15,33,48,1441035,341527,7494,2679,443304,1792736,2236041,529
2020/06/13,2020,6,13,chokepoint1,Suez Canal,13,9,6,1,14,29,43,935792,762419,26388,3386,758070,1727987,2486058,530
2020/06/14,2020,6,14,chokepoint1,Suez Canal,7,8,4,1,13,20,33,291100,484665,5253,4350,764431,785370,1549801,531
2020/06/15,2020,6,15,chokepoint1,Suez Canal,11,8,5,1,19,25,44,592231,419277,24143,0,849749,1035652,1885402,532
2020/06/16,2020,6,16,chokepoint1,Suez Canal,14,8,4,3,16,29,45,965469,322424,8795,15922,346020,1312611,1658632,533
2020/06/17,2020,6,17,chokepoint1,Suez Canal,9,11,8,1,17,29,46,533857,530813,27848,5429,720251,1097948,1818200,534
2020/06/18,2020,6,18,chokepoint1,Suez Canal,12,10,5,3,10,30,40,751699,732031,30081,15901,489238,1529714,2018952,535
2020/06/19,2020,6,19,chokepoint1,Suez Canal,19,10,0,0,19,29,48,1227359,223849,0,0,759861,1451209,2211071,536
2020/06/20,2020,6,20,chokepoint1,Suez Canal,10,10,7,0,20,27,47,519120,574365,49712,0,433156,1143197,1576353,537
2020/06/21,2020,6,21,chokepoint1,Suez Canal,15,9,3,3,10,30,40,1132158,582792,9497,17100,716977,1741548,2458526,538
2020/06/22,2020,6,22,chokepoint1,Suez Canal,12,6,4,0,12,22,34,800278,254915,5234,0,565602,1060428,1626031,539
2020/06/23,2020,6,23,chokepoint1,Suez Canal,11,9,6,0,13,26,39,888510,385791,52295,0,395847,1326597,1722444,540
2020/06/24,2020,6,24,chokepoint1,Suez Canal,14,9,5,1,23,29,52,1093571,504483,4598,8886,886482,1611541,2498023,541
2020/06/25,2020,6,25,chokepoint1,Suez Canal,13,9,9,3,12,34,46,646370,581244,55433,15251,481240,1298299,1779539,542
2020/06/26,2020,6,26,chokepoint1,Suez Canal,16,11,5,2,17,34,51,937571,424388,27182,4853,560683,1393995,1954678,543
2020/06/27,2020,6,27,chokepoint1,Suez Canal,17,12,9,1,10,39,49,1004217,769098,46826,9385,494017,1829527,2323544,544
2020/06/28,2020,6,28,chokepoint1,Suez Canal,12,13,6,5,16,36,52,903369,684297,41441,24915,747553,1654023,2401577,545
2020/06/29,2020,6,29,chokepoint1,Suez Canal,13,14,6,0,16,33,49,847801,582271,22188,0,839431,1452261,2291692,546
2020/06/30,2020,6,30,chokepoint1,Suez Canal,10,9,8,3,19,30,49,697343,344248,48484,7720,623734,1097796,1721530,547
2020/07/01,2020,7,1,chokepoint1,Suez Canal,18,13,9,1,16,41,57,1038675,675403,29653,4989,576318,1748721,2325039,548
2020/07/02,2020,7,2,chokepoint1,Suez Canal,15,11,7,4,15,37,52,835116,514029,65055,7552,690966,1421754,2112721,549
2020/07/03,2020,7,3,chokepoint1,Suez Canal,17,8,6,1,14,32,46,1288815,427980,20070,7515,977686,1744381,2722068,550
2020/07/04,2020,7,4,chokepoint1,Suez Canal,18,9,4,1,11,32,43,1175886,723013,10326,9686,357199,1918912,2276112,551
2020/07/05,2020,7,5,chokepoint1,Suez Canal,8,14,5,0,12,27,39,567477,993995,11853,0,524202,1573327,2097530,552
2020/07/06,2020,7,6,chokepoint1,Suez Canal,10,9,3,4,13,26,39,686652,362315,13932,11862,670498,1074762,1745260,553
2020/07/07,2020,7,7,chokepoint1,Suez Canal,11,18,5,0,15,34,49,764660,852343,43301,0,286141,1660305,1946446,554
2020/07/08,2020,7,8,chokepoint1,Suez Canal,14,9,3,0,12,26,38,1085408,595721,572,0,620687,1681703,2302390,555
2020/07/09,2020,7,9,chokepoint1,Suez Canal,20,6,6,1,18,33,51,961379,254616,30112,2996,761582,1249104,2010687,556
2020/07/10,2020,7,10,chokepoint1,Suez Canal,18,6,6,1,10,31,41,1230174,509917,24394,4776,452954,1769262,2222217,557
2020/07/11,2020,7,11,chokepoint1,Suez Canal,18,8,8,2,10,36,46,1132514,348429,21054,8013,408324,1510012,1918337,558
2020/07/12,2020,7,12,chokepoint1,Suez Canal,14,10,7,2,10,33,43,752996,785868,30474,12567,369552,1581907,1951459,559
2020/07/13,2020,7,13,chokepoint1,Suez Canal,11,8,3,4,9,26,35,834621,431397,12049,17593,378595,1295661,1674257,560
2020/07/14,2020,7,14,chokepoint1,Suez Canal,13,13,7,0,13,33,46,695574,884844,36603,0,532605,1617022,2149628,561
2020/07/15,2020,7,15,chokepoint1,Suez Canal,13,6,8,3,12,30,42,954774,449862,18353,8878,396681,1431868,1828549,562
2020/07/16,2020,7,16,chokepoint1,Suez Canal,12,17,9,0,16,38,54,568776,800615,26466,0,727529,1395859,2123388,563
2020/07/17,2020,7,17,chokepoint1,Suez Canal,24,12,5,4,15,45,60,1629217,732119,6389,12184,677976,2379910,3057887,564
2020/07/18,2020,7,18,chokepoint1,Suez Canal,17,7,3,3,13,30,43,1216257,451303,19980,12993,461146,1700534,2161681,565
2020/07/19,2020,7,19,chokepoint1,Suez Canal,12,8,8,3,16,31,47,792900,501612,63536,0,498380,1358050,1856430,566
2020/07/20,2020,7,20,chokepoint1,Suez Canal,15,12,6,1,13,34,47,814168,876556,24717,7816,633617,1723259,2356877,567
2020/07/21,2020,7,21,chokepoint1,Suez Canal,14,12,6,2,16,34,50,1110354,443150,26021,9421,398008,1588948,1986956,568
2020/07/22,2020,7,22,chokepoint1,Suez Canal,11,11,7,1,11,30,41,721533,536257,17314,7358,567614,1282464,1850078,569
2020/07/23,2020,7,23,chokepoint1,Suez Canal,15,12,10,2,11,39,50,889190,483350,45557,3851,447884,1421949,1869833,570
2020/07/24,2020,7,24,chokepoint1,Suez Canal,18,15,5,0,10,38,48,1404271,546192,16606,0,216307,1967069,2183377,571
2020/07/25,2020,7,25,chokepoint1,Suez Canal,16,12,6,3,13,37,50,1040778,973034,14412,17770,736456,2045994,2782451,572
2020/07/26,2020,7,26,chokepoint1,Suez Canal,15,18,9,3,16,45,61,1007272,615112,69628,10474,555154,1702486,2257641,573
2020/07/27,2020,7,27,chokepoint1,Suez Canal,13,14,5,3,16,35,51,1002566,902466,36332,20100,799721,1961465,2761186,574
2020/07/28,2020,7,28,chokepoint1,Suez Canal,19,9,3,2,13,33,46,1139189,658854,20317,11021,551822,1829382,2381205,575
2020/07/29,2020,7,29,chokepoint1,Suez Canal,15,10,4,2,11,31,42,1010727,643499,13075,4538,196978,1671841,1868819,576
2020/07/30,2020,7,30,chokepoint1,Suez Canal,13,21,7,1,12,42,54,798531,690285,27361,6456,558935,1522636,2081571,577
2020/07/31,2020,7,31,chokepoint1,Suez Canal,18,15,6,0,18,39,57,1301514,765573,4012,0,479465,2071100,2550566,578
2020/08/01,2020,8,1,chokepoint1,Suez Canal,18,7,1,2,15,28,43,1161802,326805,1115,9253,831959,1498976,2330936,579
2020/08/02,2020,8,2,chokepoint1,Suez Canal,12,18,6,1,12,37,49,659702,994614,29186,6492,567201,1689996,2257197,580
2020/08/03,2020,8,3,chokepoint1,Suez Canal,15,16,10,2,10,43,53,902697,582138,35163,14156,261318,1534156,1795474,581
2020/08/04,2020,8,4,chokepoint1,Suez Canal,19,14,6,1,11,40,51,1318865,469257,23438,0,220219,1811561,2031780,582
2020/08/05,2020,8,5,chokepoint1,Suez Canal,16,12,6,1,14,35,49,992834,283587,47117,0,566831,1323538,1890370,583
2020/08/06,2020,8,6,chokepoint1,Suez Canal,14,23,3,4,14,44,58,695628,1163335,9624,9171,458493,1877758,2336252,584
2020/08/07,2020,8,7,chokepoint1,Suez Canal,19,12,5,1,13,37,50,1038505,754586,7219,3978,814917,1804290,2619207,585
2020/08/08,2020,8,8,chokepoint1,Suez Canal,19,8,2,2,11,31,42,1359762,678764,17379,13308,450560,2069214,2519775,586
2020/08/09,2020,8,9,chokepoint1,Suez Canal,13,10,3,0,10,26,36,797602,362100,1577,0,643226,1161280,1804506,587
2020/08/10,2020,8,10,chokepoint1,Suez Canal,13,21,12,1,11,47,58,674371,867481,34768,4621,307784,1581243,1889027,588
2020/08/11,2020,8,11,chokepoint1,Suez Canal,17,9,3,3,8,32,40,1040096,782419,17542,15461,605932,1855519,2461452,589
2020/08/12,2020,8,12,chokepoint1,Suez Canal,15,14,6,1,10,36,46,994745,711150,7781,3449,249553,1717127,1966680,590
2020/08/13,2020,8,13,chokepoint1,Suez Canal,13,11,7,2,20,33,53,529324,450788,42250,11202,737046,1033566,1770613,591
2020/08/14,2020,8,14,chokepoint1,Suez Canal,19,19,5,1,11,44,55,1226985,871558,4292,2746,337453,2105582,2443036,592
2020/08/15,2020,8,15,chokepoint1,Suez Canal,19,12,5,3,9,39,48,1360448,699567,20588,8980,642536,2089584,2732120,593
2020/08/16,2020,8,16,chokepoint1,Suez Canal,15,15,8,4,7,42,49,1090181,1103650,18805,18260,521862,2230898,2752761,594
2020/08/17,2020,8,17,chokepoint1,Suez Canal,15,17,4,4,20,40,60,1003089,696422,11347,17426,860124,1728286,2588410,595
2020/08/18,2020,8,18,chokepoint1,Suez Canal,14,9,4,1,16,28,44,708194,612140,38631,5263,1123152,1364229,2487382,596
2020/08/19,2020,8,19,chokepoint1,Suez Canal,19,19,6,1,7,45,52,1264124,1090194,60530,7991,287000,2422839,2709840,597
2020/08/20,2020,8,20,chokepoint1,Suez Canal,12,15,5,2,19,34,53,627690,619489,45386,12984,1213185,1305550,2518736,598
2020/08/21,2020,8,21,chokepoint1,Suez Canal,16,20,8,1,16,45,61,1240693,884712,25347,4876,510424,2155629,2666053,599
2020/08/22,2020,8,22,chokepoint1,Suez Canal,22,6,3,1,5,32,37,1287145,335672,3527,2731,338675,1629076,1967752,600
2020/08/23,2020,8,23,chokepoint1,Suez Canal,15,16,6,0,11,37,48,904603,927669,30642,0,316928,1862915,2179844,601
2020/08/24,2020,8,24,chokepoint1,Suez Canal,17,16,3,1,23,37,60,1119448,621645,8095,0,694449,1749189,2443638,602
2020/08/25,2020,8,25,chokepoint1,Suez Canal,19,11,7,7,20,44,64,1003322,446320,43956,40206,725689,1533806,2259496,603
2020/08/26,2020,8,26,chokepoint1,Suez Canal,15,17,3,1,18,36,54,901476,859450,8454,0,650081,1769382,2419463,604
2020/08/27,2020,8,27,chokepoint1,Suez Canal,10,15,6,4,16,35,51,652082,1061080,26752,14008,649765,1753924,2403689,605
2020/08/28,2020,8,28,chokepoint1,Suez Canal,23,22,4,2,6,51,57,1397193,960372,6542,6261,228968,2370369,2599337,606
2020/08/29,2020,8,29,chokepoint1,Suez Canal,23,6,5,1,14,35,49,1302590,382802,28746,5872,348185,1720012,2068197,607
2020/08/30,2020,8,30,chokepoint1,Suez Canal,11,19,4,2,18,36,54,700326,785091,26793,6044,741254,1518256,2259511,608
2020/08/31,2020,8,31,chokepoint1,Suez Canal,16,13,6,3,16,38,54,1258942,449878,28810,7090,405423,1744721,2150145,609
2020/09/01,2020,9,1,chokepoint1,Suez Canal,14,20,6,1,21,41,62,952314,870653,9989,5409,1140576,1838366,2978942,610
2020/09/02,2020,9,2,chokepoint1,Suez Canal,23,22,7,0,9,52,61,1197901,791667,24832,0,424426,2014401,2438827,611
2020/09/03,2020,9,3,chokepoint1,Suez Canal,13,26,7,0,16,46,62,442595,1189628,12758,0,747154,1644982,2392137,612
2020/09/04,2020,9,4,chokepoint1,Suez Canal,25,9,3,2,9,39,48,1761295,602340,17935,9875,469892,2391447,2861339,613
2020/09/05,2020,9,5,chokepoint1,Suez Canal,14,11,4,2,18,31,49,999686,618183,15183,11557,836635,1644609,2481245,614
2020/09/06,2020,9,6,chokepoint1,Suez Canal,12,22,7,1,20,42,62,663127,819873,20611,7998,863123,1511611,2374734,615
2020/09/07,2020,9,7,chokepoint1,Suez Canal,17,19,3,3,9,42,51,1278593,1065559,6500,11004,383524,2361658,2745183,616
2020/09/08,2020,9,8,chokepoint1,Suez Canal,14,13,4,1,8,32,40,790618,837290,14431,4948,407510,1647288,2054799,617
2020/09/09,2020,9,9,chokepoint1,Suez Canal,13,17,6,1,11,37,48,789558,789268,7774,4096,401185,1590699,1991884,618
2020/09/10,2020,9,10,chokepoint1,Suez Canal,12,18,8,1,17,39,56,755461,749669,50345,2672,711700,1558148,2269849,619
2020/09/11,2020,9,11,chokepoint1,Suez Canal,24,18,5,2,11,49,60,1759051,824094,12476,6454,115814,2602077,2717892,620
2020/09/12,2020,9,12,chokepoint1,Suez Canal,18,12,2,2,12,34,46,1086719,908548,6010,6784,554336,2008063,2562399,621
2020/09/13,2020,9,13,chokepoint1,Suez Canal,13,11,6,0,14,30,44,706247,357535,27486,0,563923,1091270,1655194,622
2020/09/14,2020,9,14,chokepoint1,Suez Canal,12,19,6,2,14,39,53,553619,838837,11189,9734,409431,1413381,1822813,623
2020/09/15,2020,9,15,chokepoint1,Suez Canal,19,18,7,4,11,48,59,1280006,1138733,29359,13504,260793,2461605,2722398,624
2020/09/16,2020,9,16,chokepoint1,Suez Canal,16,15,5,1,14,37,51,955144,732319,26090,0,246013,1713554,1959567,625
2020/09/17,2020,9,17,chokepoint1,Suez Canal,19,21,5,3,8,48,56,1125825,724041,24955,13245,411877,1888067,2299944,626
2020/09/18,2020,9,18,chokepoint1,Suez Canal,18,20,10,2,11,50,61,1384174,933017,15913,10077,455084,2343183,2798268,627
2020/09/19,2020,9,19,chokepoint1,Suez Canal,14,3,3,3,11,23,34,809399,174244,10256,14307,714399,1008207,1722606,628
2020/09/20,2020,9,20,chokepoint1,Suez Canal,19,12,5,1,9,37,46,1203799,739780,15712,3476,545388,1962768,2508157,629
2020/09/21,2020,9,21,chokepoint1,Suez Canal,16,18,6,1,18,41,59,915960,833631,35480,1805,340151,1786878,2127029,630
2020/09/22,2020,9,22,chokepoint1,Suez Canal,15,17,5,4,16,41,57,925170,814794,18419,14823,860963,1773208,2634171,631
2020/09/23,2020,9,23,chokepoint1,Suez Canal,25,10,3,4,7,42,49,1427131,749733,25567,22048,136071,2224481,2360552,632
2020/09/24,2020,9,24,chokepoint1,Suez Canal,18,16,6,1,14,41,55,784238,852053,18554,877,544355,1655724,2200080,633
2020/09/25,2020,9,25,chokepoint1,Suez Canal,20,9,7,2,18,38,56,1260828,423984,11123,6975,586358,1702911,2289269,634
