date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/11/28,2019,11,28,chokepoint1,Suez Canal,12,7,6,8,21,33,54,778237,350869,33993,22715,1295401,1185816,2481217,372
2019/11/29,2019,11,29,chokepoint1,Suez Canal,18,11,3,3,14,35,49,1104043,638715,29902,13255,697421,1785917,2483338,373
2019/11/30,2019,11,30,chokepoint1,Suez Canal,16,20,5,0,13,41,54,975661,548090,8686,0,821065,1532437,2353503,374
2019/12/01,2019,12,1,chokepoint1,Suez Canal,13,17,5,0,19,35,54,508384,678885,10334,0,745808,1197603,1943412,375
2019/12/02,2019,12,2,chokepoint1,Suez Canal,16,12,2,2,21,32,53,1130241,650412,8757,3402,852040,1792814,2644855,376
2019/12/03,2019,12,3,chokepoint1,Suez Canal,18,10,7,2,19,37,56,1220655,821953,29375,11735,974751,2083720,3058471,377
2019/12/04,2019,12,4,chokepoint1,Suez Canal,18,14,8,5,19,45,64,1039507,725352,24233,24656,768074,1813749,2581823,378
2019/12/05,2019,12,5,chokepoint1,Suez Canal,22,11,4,3,19,40,59,1356370,458401,15755,5777,661596,1836304,2497900,379
2019/12/06,2019,12,6,chokepoint1,Suez Canal,21,8,4,1,10,34,44,1217298,323700,17544,3299,565360,1561843,2127204,380
2019/12/07,2019,12,7,chokepoint1,Suez Canal,14,9,8,2,24,33,57,913083,681331,15781,6845,1247546,1617042,2864588,381
2019/12/08,2019,12,8,chokepoint1,Suez Canal,8,19,6,4,17,37,54,381805,817982,27545,0,429291,1227333,1656624,382
2019/12/09,2019,12,9,chokepoint1,Suez Canal,16,16,3,1,23,36,59,1043321,949377,6757,5290,933755,2004746,2938502,383
2019/12/10,2019,12,10,chokepoint1,Suez Canal,18,11,2,1,20,32,52,828444,588371,5684,4893,705738,1427393,2133132,384
2019/12/11,2019,12,11,chokepoint1,Suez Canal,13,20,9,3,17,45,62,629315,922137,47839,3496,511475,1602789,2114265,385
2019/12/12,2019,12,12,chokepoint1,Suez Canal,17,15,8,3,15,43,58,1067935,563449,50661,6605,617620,1688650,2306271,386
2019/12/13,2019,12,13,chokepoint1,Suez Canal,21,7,3,5,16,36,52,1015440,299018,3996,16777,727744,1335233,2062978,387
2019/12/14,2019,12,14,chokepoint1,Suez Canal,15,13,5,3,16,36,52,782776,562661,47240,3382,624536,1396061,2020598,388
2019/12/15,2019,12,15,chokepoint1,Suez Canal,14,20,3,1,14,38,52,669508,1101655,11442,0,548455,1782606,2331062,389
2019/12/16,2019,12,16,chokepoint1,Suez Canal,17,14,7,0,19,38,57,972299,965912,30028,0,671648,1968240,2639889,390
2019/12/17,2019,12,17,chokepoint1,Suez Canal,17,12,5,4,18,38,56,687913,722932,22312,6098,1180114,1439256,2619371,391
